timestamp,price,open,high,low,volume,Change %
12/03/2023,39653,39438,39722,39253,3.03K,0.55%
12/02/2023,39438,38676,39678,38634,2.86K,1.97%
12/01/2023,38676,37723,38936,37626,2.69K,2.53%
11/30/2023,37723,37834,38136,37490,0.73K,-0.29%
11/29/2023,37834,37815,38366,37599,1.19K,0.05%
11/28/2023,37815,37263,38349,36895,1.79K,1.48%
11/27/2023,37263,37443,37547,36735,1.74K,-0.48%
11/26/2023,37443,37782,37798,37120,1.84K,-0.90%
11/25/2023,37782,37704,37891,37583,1.13K,0.21%
11/24/2023,37704,37280,38410,37248,3.64K,1.14%
11/23/2023,37280,37407,37645,36898,1.30K,-0.34%
11/22/2023,37407,35794,37870,35663,2.09K,4.51%
11/21/2023,35794,37451,37638,35791,2.68K,-4.42%
11/20/2023,37451,37368,37731,36824,1.65K,0.22%
11/19/2023,37368,36581,37509,36410,0.52K,2.15%
11/18/2023,36581,36631,36849,36234,0.34K,-0.14%
11/17/2023,36631,36161,36730,35886,0.88K,1.30%
11/16/2023,36161,37865,37927,35535,0.96K,-4.50%
11/15/2023,37865,35542,37949,35374,1.99K,6.54%
11/14/2023,35542,36511,36756,34860,2.05K,-2.65%
11/13/2023,36511,37042,37410,36390,1.23K,-1.43%
11/12/2023,37042,37141,37215,36760,0.45K,-0.27%
11/11/2023,37141,37301,37405,36720,1.22K,-0.43%
11/10/2023,37301,36699,37500,36369,0.95K,1.64%
11/09/2023,36699,35641,37973,35562,3.97K,2.97%
11/08/2023,35641,35455,36065,35111,0.70K,0.52%
11/07/2023,35455,35053,35930,34578,0.97K,1.15%
11/06/2023,35053,35064,35323,34798,0.37K,-0.03%
11/05/2023,35064,35100,35399,34532,0.61K,-0.10%
11/04/2023,35100,34751,35296,34647,0.72K,1.00%
11/03/2023,34751,34944,34954,34154,1.51K,-0.55%
11/02/2023,34944,35447,35953,34335,2.19K,-1.42%
11/01/2023,35447,34669,35561,34114,1.99K,2.24%
10/31/2023,34669,34490,34730,34111,1.39K,0.52%
10/30/2023,34490,34552,34876,34117,1.36K,-0.18%
10/29/2023,34551,34104,34783,33969,1.50K,1.31%
10/28/2023,34104,33942,34494,33906,0.75K,0.48%
10/27/2023,33942,34184,34268,33430,1.12K,-0.71%
10/26/2023,34184,34504,34843,33770,1.01K,-0.93%
10/25/2023,34504,33943,35147,33756,2.24K,1.65%
10/24/2023,33943,33069,35175,32852,5.30K,2.64%
10/23/2023,33069,30023,33525,29923,6.76K,10.15%
10/22/2023,30023,29922,30225,29704,0.50K,0.34%
10/21/2023,29922,29689,30343,29478,0.79K,0.78%
10/20/2023,29689,28745,30232,28619,3.15K,3.28%
10/19/2023,28745,28332,28904,28155,1.56K,1.46%
10/18/2023,28332,28410,28978,28171,1.02K,-0.27%
10/17/2023,28410,28524,28624,28109,0.83K,-0.40%
10/16/2023,28524,27168,30067,27129,4.31K,4.99%
10/15/2023,27168,26871,27297,26832,0.47K,1.11%
10/14/2023,26871,26875,26995,26830,0.36K,-0.01%
10/13/2023,26875,26795,27140,26700,0.85K,0.30%
10/12/2023,26795,26894,26964,26580,1.44K,-0.37%
10/11/2023,26894,27414,27492,26562,1.98K,-1.90%
10/10/2023,27414,27617,27752,27325,1.27K,-0.74%
10/09/2023,27617,27929,27987,27331,3.07K,-1.12%
10/08/2023,27929,27967,28093,27710,0.30K,-0.14%
10/07/2023,27967,27942,28026,27840,0.45K,0.09%
10/06/2023,27942,27418,28268,27200,1.62K,1.91%
10/05/2023,27418,27805,28118,27370,1.44K,-1.39%
10/04/2023,27805,27431,27845,27249,0.89K,1.36%
10/03/2023,27431,27526,27700,27211,0.77K,-0.35%
10/02/2023,27526,28008,28566,27345,2.08K,-1.72%
10/01/2023,28008,26980,28100,26973,1.83K,3.81%
09/30/2023,26980,26929,27109,26909,0.33K,0.19%
09/29/2023,26929,27046,27263,26745,1.06K,-0.43%
09/28/2023,27046,26391,27300,26368,1.07K,2.48%
09/27/2023,26391,26244,26872,26147,1.91K,0.56%
09/26/2023,26244,26330,26410,26129,0.90K,-0.33%
09/25/2023,26330,26299,26465,26045,1.17K,0.12%
09/24/2023,26299,26609,26768,26211,2.03K,-1.17%
09/23/2023,26609,26606,26662,26555,0.88K,0.01%
09/22/2023,26606,26594,26749,26532,2.04K,0.05%
09/21/2023,26594,27149,27167,26416,1.53K,-2.04%
